"","Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR","CEC","Ndep_1984_2015","CRU_MAT_Initial","CRU_MAT_Final","CRU_MAP_Initial","CRU_MAP_Final","CRU_MAT_mean","CRU_MAP_mean","RowID","logNadd","logNadd2","logNdep","logNdep2","Feeding_GuildUsed","Feeding_GuildCode","Habitat"
"115","Liu_et_al_2020",2020,196,"196af",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Aphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0.2,36,0.2,0.03,0,36,0,0,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",0.0277777777777778,0.2,0.00144111585016345,0.2,7.2,1.97408102602201,1.98793253224281,0.0278525431139471,0.0282383483780106,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,115,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"116","Liu_et_al_2020",2020,196,"196ag",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0,36,0,0,0.2,36,0.2,0.03,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",0.2,0.0277777777777778,0.2,0.00187616623444989,0.138888888888889,-1.97408102602201,-1.98790655491559,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,116,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"117","Liu_et_al_2020",2020,196,"196ag",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0,36,0,0,0.2,36,0.2,0.03,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",0.2,0.0277777777777778,0.2,0.00187616623444989,0.138888888888889,-1.97408102602201,-1.98790655491559,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,117,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"118","Liu_et_al_2020",2020,196,"196ag",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0,36,0,0,0.2,36,0.2,0.03,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",0.2,0.0277777777777778,0.2,0.00187616623444989,0.138888888888889,-1.97408102602201,-1.98790655491559,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,118,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"119","Liu_et_al_2020",2020,196,"196ag",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Bursaphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0,36,0,0,0.2,36,0.2,0.03,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",0.2,0.0277777777777778,0.2,0.00187616623444989,0.138888888888889,-1.97408102602201,-1.98790655491559,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,119,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"120","Liu_et_al_2020",2020,196,"196ah",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Anguinidae","Ditylenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,7.8,36,4.7,0.78,5.1,36,3.9,0.65,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",5.1,7.8,3.9,4.7,1.52941176470588,0.424883193965266,0.421804144120734,0.0263294051167798,0.0265121950581758,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,120,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"121","Liu_et_al_2020",2020,196,"196ah",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Anguinidae","Ditylenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,7.6,36,7.6,1.27,5.1,36,3.9,0.65,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",5.1,7.6,3.9,7.6,1.49019607843137,0.398907707562005,0.404674720249433,0.0440215301806997,0.0445392623958992,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,121,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"122","Liu_et_al_2020",2020,196,"196ah",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Anguinidae","Ditylenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0.9,36,0.9,0.15,5.1,36,3.9,0.65,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",5.1,0.9,3.9,0.9,0.176470588235294,-1.73460105538811,-1.72883404270068,0.0440215301806997,0.0445392623958992,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,122,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"123","Liu_et_al_2020",2020,196,"196ah",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Anguinidae","Ditylenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0.7,36,0.7,0.12,5.1,36,3.9,0.65,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",5.1,0.7,3.9,0.7,0.137254901960784,-1.98591548366901,-1.98014847098158,0.0440215301806997,0.0445392623958993,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,123,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"124","Liu_et_al_2020",2020,196,"196ai",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Tylenchidae","Filenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,38.3,36,9.4,1.57,17.8,36,4.8,0.8,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",17.8,38.3,4.8,9.4,2.15168539325843,0.766251438888561,0.766078080430955,0.00369317703757195,0.00369661697988448,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,124,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"125","Liu_et_al_2020",2020,196,"196ai",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Tylenchidae","Filenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,20.8,36,3.9,0.65,17.8,36,4.8,0.8,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",17.8,20.8,4.8,3.9,1.1685393258427,0.155754529409233,0.155232837171037,0.00299650947639187,0.00299902640644379,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,125,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"126","Liu_et_al_2020",2020,196,"196ai",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Tylenchidae","Filenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,24.2,36,5.9,0.98,17.8,36,4.8,0.8,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",17.8,24.2,4.8,5.9,1.35955056179775,0.307154175864601,0.306969747459088,0.00367103714175702,0.00367444028401782,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,126,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"127","Liu_et_al_2020",2020,196,"196ai",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Tylenchidae","Filenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,18.9,36,4,0.67,17.8,36,4.8,0.8,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",17.8,18.9,4.8,4,1.06179775280899,0.0599634647675571,0.0595755965457933,0.00326415750925614,0.0032669716320749,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,127,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"128","Liu_et_al_2020",2020,196,"196aj",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Paraphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,3.1,36,3.1,0.52,1.2,36,0.9,0.15,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",1.2,3.1,0.9,3.1,2.58333333333333,0.949080554697146,0.955156943586035,0.0434027777777778,0.0439106505594136,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,128,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"129","Liu_et_al_2020",2020,196,"196aj",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Paraphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0,36,0,0,1.2,36,0.9,0.15,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",1.2,0.0277777777777778,0.9,0.00187616623444989,0.0231481481481481,-3.76584049525006,-3.77358963525476,0.0157517199906144,0.0158737983320924,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,129,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"130","Liu_et_al_2020",2020,196,"196aj",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Paraphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0.2,36,0.2,0.03,1.2,36,0.9,0.15,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",1.2,0.2,0.9,0.2,0.166666666666667,-1.79175946922805,-1.78568308033917,0.0434027777777778,0.0439106505594136,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,130,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"131","Liu_et_al_2020",2020,196,"196aj",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Paraphelenchus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0.9,36,0.9,0.15,1.2,36,0.9,0.15,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",1.2,0.9,0.9,0.9,0.75,-0.287682072451781,-0.281605683562892,0.0434027777777778,0.0439106505594136,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,131,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"132","Liu_et_al_2020",2020,196,"196ak",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0,36,0,0,1.3,36,0.6,0.1,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",1.3,0.0277777777777778,0.6,0.00187616623444989,0.0213675213675214,-3.8458832029236,-3.84877842280995,0.00604387975392804,0.00606139417273834,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,132,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"133","Liu_et_al_2020",2020,196,"196ak",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0.2,36,0.2,0.03,1.3,36,0.6,0.1,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",1.3,0.2,0.6,0.2,0.153846153846154,-1.87180217690159,-1.86087186789436,0.0336949375410914,0.0340982464000595,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,133,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"134","Liu_et_al_2020",2020,196,"196ak",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0.1,36,0.1,0.02,1.3,36,0.6,0.1,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",1.3,0.1,0.6,0.1,0.0769230769230769,-2.56494935746154,-2.5540190484543,0.0336949375410914,0.0340982464000595,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,134,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"135","Liu_et_al_2020",2020,196,"196ak",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0.2,36,0.2,0.03,1.3,36,0.6,0.1,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",1.3,0.2,0.6,0.2,0.153846153846154,-1.87180217690159,-1.86087186789436,0.0336949375410914,0.0340982464000595,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,135,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"136","Liu_et_al_2020",2020,196,"196al",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Tylolaimophorus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0,36,0,0,0.1,36,0.1,0.02,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",0.1,0.0277777777777778,0.1,0.00187616623444989,0.277777777777778,-1.28093384546206,-1.29475937435565,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,136,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"137","Liu_et_al_2020",2020,196,"196al",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Tylolaimophorus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0,36,0,0,0.1,36,0.1,0.02,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",0.1,0.0277777777777778,0.1,0.00187616623444989,0.277777777777778,-1.28093384546206,-1.29475937435565,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,137,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"138","Liu_et_al_2020",2020,196,"196al",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Tylolaimophorus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,0,36,0,0,0.1,36,0.1,0.02,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",0.1,0.0277777777777778,0.1,0.00187616623444989,0.277777777777778,-1.28093384546206,-1.29475937435565,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,138,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"139","Liu_et_al_2020",2020,196,"196al",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Tylolaimophorus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,0,36,0,0,0.1,36,0.1,0.02,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",0.1,0.0277777777777778,0.1,0.00187616623444989,0.277777777777778,-1.28093384546206,-1.29475937435565,0.0279044977683922,0.028290308266506,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,139,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"140","Liu_et_al_2020",2020,196,"196am",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Dorylaimida","Tylencholaimidae","Tylencholaimus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,4.6,36,2.2,0.37,3.6,36,1.3,0.22,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN25","Treatment",3.6,4.6,1.3,2.2,1.27777777777778,0.245122458032985,0.246488183377282,0.00997596372014387,0.0100027088888963,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,140,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"141","Liu_et_al_2020",2020,196,"196am",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Dorylaimida","Tylencholaimidae","Tylencholaimus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,4.7,36,1.6,0.27,3.6,36,1.3,0.22,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","CAN50","Treatment",3.6,4.7,1.3,1.6,1.30555555555556,0.266628663253949,0.26642711197911,0.00684141048187332,0.00685315232913508,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,141,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"142","Liu_et_al_2020",2020,196,"196am",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Dorylaimida","Tylencholaimidae","Tylencholaimus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",25,"Added","NH4NO3",400,3.3,36,1.5,0.25,3.6,36,1.3,0.22,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN25","Treatment",3.6,3.3,1.3,1.5,0.916666666666667,-0.0870113769896298,-0.0859529001051849,0.00936146680043986,0.0093844964389187,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,142,1.39794000867204,1.95423626784598,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
"143","Liu_et_al_2020",2020,196,"196am",2013,2016,4,9,"Asia","China","Jigongshan (JGS) National Nature Reserve",31.766767,114.0166882,2000,"Nematoda","Enoplea","Dorylaimida","Tylencholaimidae","Tylencholaimus",NA,NA,"Fungivore","NO","YES","0-10","NO","19.6",50,"Added","NH4NO3",400,4,36,2.3,0.38,3.6,36,1.3,0.22,"FromSE","Soil cores","Individuals/100 gr soil",0.5,0.5,NA,"Temperate_Forest",NA,"15.20","1119.00","4.2",NA,NA,"Y","Y","Juan",1,1,1,3,"Table S3","UAN50","Treatment",3.6,4,1.3,2.3,1.11111111111111,0.105360515657826,0.108141401288828,0.0128062842935528,0.0128550178477973,18.1067790985107,17.3307609558105,16.5750007629395,16.6750011444092,82.8166656494141,100.875,16.6250009536743,91.845832824707,143,1.69897000433602,2.88649907563353,1.23881763205345,1.53466912548651,"Fungivore",2,"Forest"
