"","Source","Source_Year","Study","Control_ID","Study_Year_Initial","Study_Year_Final","Duration_Years","Collection_Periods","Continent","Country","Site_Name","Latitude","Longitude","Location_Uncertainty","Phylum","Class","Order","Family","Genus","Species","Binomial","Feeding_Guild","Aggregated_Study","Soil_Fauna","Soil_Depth","Pest","Nitrogen_Deposited","Nitrogen_Added","N_Added_Deposited","Fertilizer_Type","Plot_Size","Treatment_Mean","Treatment_N","Treatment_SD","Treatment_SE","Control_Mean","Control_N","Control_SD","Control_SE","SD_Estimated","Sampling_Method","Unit_Measurement","Treatment_ScalingConstant","Control_ScalingConstant","Biome","Vegetation_Type","Land_Use_Described","MAT","MAP","pH","P","K","Checked","Finished","Reviewer","Study_Quality_1","Study_Quality_2","Study_Quality_3","Study_Quality_Total","Data_Retrieved_From","Notes","ControlYN","Control_MeanCorrected","Treatment_MeanCorrected","Control_SDCorrected","Treatment_SDCorrected","Ratio","logRR_uncorrected","logRR","VAR_uncorrected","VAR","CEC","Ndep_1984_2015","CRU_MAT_Initial","CRU_MAT_Final","CRU_MAP_Initial","CRU_MAP_Final","CRU_MAT_mean","CRU_MAP_mean","RowID","logNadd","logNadd2","logNdep","logNdep2","Feeding_GuildUsed","Feeding_GuildCode","Habitat"
"11","Cheng_et_al_2018",2018,110,"110d",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Fungivore","YES","YES","0-10","NO","",100,"Added","Urea and glycine 1:1",200,71.6,12,68.43,19.75,56.79,12,59.87,17.28,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.44",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",56.79,71.6,59.87,68.43,1.26078534953337,0.231734820077259,0.223484880611946,0.168735325311825,0.175921289315028,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,11,2,4,1.00371988629271,1.00745361013946,"Fungivore",2,"Forest"
"12","Cheng_et_al_2018",2018,110,"110d",2010,2015,6,1,"Asia","China","Harbin",45.333333,127.566667,0,"Nematoda",NA,NA,NA,NA,NA,NA,"Fungivore","YES","YES","0-10","NO","",100,"Added","Inorganic and organic N 7:3",200,12.35,12,7.31,2.11,56.79,12,59.87,17.28,"FromSE","Counting ","Individuals/100 gr dry soil",NA,NA,NA,"Temperate forest","Experimental forest with mixed broad-leaved Korean pine forest","2.7","600-800","5.17",NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Datapoints read from Digitizelt; Each study has four treatments, including the control, inorganic N, organic N and mixed N","Treatment",56.79,12.35,59.87,7.31,0.217467864060574,-1.52570419081536,-1.55741511833818,0.121813349196794,0.126528555131787,23.832332611084,10.0860214233398,2.66666650772095,3.98333334922791,44.9583320617676,44.0083351135254,3.32499992847443,44.4833335876465,12,2,4,1.00371988629271,1.00745361013946,"Fungivore",2,"Forest"
"13","Song_2017",2017,118,"118c",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Bacterivore","YES","YES","0-10","NO","",60,"Added","NH4NO3",24,67.34,6,18.87,7.7,61.97,6,40.56,16.56,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",61.97,67.34,40.56,18.87,1.0866548329837,0.0831040167589123,0.053948971920381,0.0844844647525366,0.087118887588204,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,13,1.77815125038364,3.16182186924092,1.23730952011448,1.53093484856592,"Bacterivore",1,"Non-forest"
"14","Song_2017",2017,118,"118d",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Fungivore","YES","YES","0-10","NO","",60,"Added","NH4NO3",24,33.44,6,16.2,6.61,44.01,6,15.39,6.28,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",44.01,33.44,15.39,16.2,0.759827311974551,-0.274664092606499,-0.265296909228369,0.05949615681234,0.0604688491056392,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,14,1.77815125038364,3.16182186924092,1.23730952011448,1.53093484856592,"Fungivore",2,"Non-forest"
"15","Song_2017",2017,118,"118e",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Plant-parasite","YES","YES","0-10","NO","",60,"Added","NH4NO3",24,31.84,6,13.15,5.37,79.16,6,56.02,22.87,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",79.16,31.84,56.02,13.15,0.4022233451238,-0.910747759758183,-0.938267828296497,0.11189716220436,0.115784760104061,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,15,1.77815125038364,3.16182186924092,1.23730952011448,1.53093484856592,"Parasite",4,"Non-forest"
"16","Song_2017",2017,118,"118f",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Predator/Omnivore","YES","YES","0-10","NO","",60,"Added","NH4NO3",24,8.85,6,9.27,3.78,16.92,6,14.15,5.78,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",16.92,8.85,14.15,9.27,0.523049645390071,-0.648078895158239,-0.614929798012681,0.299424299245223,0.322936889631412,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,16,1.77815125038364,3.16182186924092,1.23730952011448,1.53093484856592,"Predator-Omnivore",5,"Non-forest"
"17","Song_2017",2017,119,"119c",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Bacterivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",24,157.33,6,30.19,12.32,95.74,6,23.58,9.63,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",95.74,157.33,23.58,30.19,1.64330478378943,0.496709326287969,0.494722815594265,0.0162469017567491,0.0163168384356587,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,17,2,4,1.23730952011448,1.53093484856592,"Bacterivore",1,"Non-forest"
"18","Song_2017",2017,119,"119d",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Fungivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",24,99.69,6,41.31,16.87,142.33,6,74.52,30.42,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",142.33,99.69,74.52,41.31,0.700414529614277,-0.356082934047921,-0.364617353097564,0.0743070348601315,0.0757602550260726,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,18,2,4,1.23730952011448,1.53093484856592,"Fungivore",2,"Non-forest"
"19","Song_2017",2017,119,"119e",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Plant-parasite","YES","YES","0-10","NO","",100,"Added","NH4NO3",24,62.34,6,41.89,17.1,30.11,6,13.64,5.57,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",30.11,62.34,13.64,41.89,2.07040850215875,0.727745931845549,0.748272300138183,0.109457441677264,0.112874006357181,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,19,2,4,1.23730952011448,1.53093484856592,"Parasite",4,"Non-forest"
"20","Song_2017",2017,119,"119f",2013,2014,2,4,"Asia","China","Kaifeng",34.809088,114.369902,100,"Nematoda",NA,NA,NA,NA,NA,NA,"Predator/Omnivore","YES","YES","0-10","NO","",100,"Added","NH4NO3",24,15.19,6,6.34,2.59,23.16,6,21.22,8.66,"FromSE","Baermann funnel","Individuals/100 gr dry soil",NA,NA,NA,"Grassland","Experimental grassland in Henan Uni","14.4","625",NA,NA,NA,"Y","Y","Fiona",1,1,1,3,"Figure 2","Different studies are different sampling dates; data extracted using Digitizelt","Treatment",23.16,15.19,21.22,6.34,0.65587219343696,-0.421789336097113,-0.477229371597726,0.168948718834544,0.179158233769812,23.0666675567627,17.2706832885742,15.375,15.3916673660278,47.9000015258789,49.3250007629395,15.3833336830139,48.6125011444092,20,2,4,1.23730952011448,1.53093484856592,"Predator-Omnivore",5,"Non-forest"
